FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,DESCRIPCION_CONDUCTA,ZONA,CANTIDAD
26/10/2006,25,CUNDINAMARCA,25658,SAN FRANCISCO,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
27/10/2006,25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,URBANA,1
28/10/2006,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 336. CAZA ILEGAL,URBANA,1
06/11/2006,25,CUNDINAMARCA,25035,ANAPOIMA,ARTICULO 336. CAZA ILEGAL,URBANA,1
11/11/2006,25,CUNDINAMARCA,25019,ALBAN,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
11/11/2006,25,CUNDINAMARCA,25797,TENA,ARTICULO 338. EXPLOTACION ILICITA DE YACIMIENTO MINERO Y OTROS MATERIALES,RURAL,1
29/11/2006,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 336. CAZA ILEGAL,URBANA,1
02/12/2006,25,CUNDINAMARCA,25513,PACHO,ARTICULO 336. CAZA ILEGAL,URBANA,1
04/12/2006,25,CUNDINAMARCA,25040,ANOLAIMA,ARTICULO 338. EXPLOTACION ILICITA DE YACIMIENTO MINERO Y OTROS MATERIALES,RURAL,1
06/12/2006,25,CUNDINAMARCA,25377,LA CALERA,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,URBANA,1
06/12/2006,25,CUNDINAMARCA,25815,TOCAIMA,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,URBANA,1
29/01/2007,25,CUNDINAMARCA,25873,VILLAPINZON,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
25/02/2007,25,CUNDINAMARCA,25175,CHIA,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,RURAL,1
